time_s,stage,stage_time_s,pump_pwm,temp_c,raw_adc,cooling_on,notes
781,5,57,1023,23.4021,2120.55,1,cooling
784,5,60,1023,22.79657,2148.4,1,cooling
786,5,62,1023,22.439698,2164.85,1,cooling
788,5,64,1023,22.68695,2153.45,1,cooling
790,5,66,1023,22.568696,2158.9,1,cooling
792,5,68,1023,22.577392,2158.5,1,cooling
795,5,71,1023,23.043122,2137.05,1,cooling
797,5,73,1023,22.560028,2159.3,1,cooling
799,5,75,1023,23.137696,2132.7,1,cooling
801,5,77,1023,23.076844,2135.5,1,cooling
803,5,79,1023,22.503662,2161.9,1,cooling
806,5,82,1023,22.312928,2170.7,1,cooling
808,5,84,1023,23.111602,2133.9,1,cooling
810,5,86,1023,22.735778,2151.2,1,cooling
812,5,88,1023,22.842164,2146.3,1,cooling
814,5,90,1023,22.645722,2155.35,1,cooling
817,5,93,1023,22.3941652,2166.95,1,cooling
819,5,95,1023,22.717346,2152.05,1,cooling
821,5,97,1023,22.735778,2151.2,1,cooling
823,5,99,1023,22.68695,2153.45,1,cooling
826,5,102,1023,22.793304,2148.55,1,cooling
828,5,104,1023,22.595826,2157.65,1,cooling
830,5,106,1023,22.54486,2160.0,1,cooling
832,5,108,1023,22.654418,2154.95,1,cooling
834,5,110,1023,22.580628,2158.35,1,cooling
837,5,113,1023,22.365998,2168.25,1,cooling
839,5,115,1023,22.473298,2163.3,1,cooling
841,5,117,1023,22.671784,2154.15,1,cooling
843,5,119,1023,22.959472,2140.9,1,cooling
846,5,122,1023,23.115966,2133.7,1,cooling
848,5,124,1023,22.612092,2156.9,1,cooling
850,5,126,1023,22.493896,2162.35,1,cooling
852,5,128,1023,22.639222,2155.65,1,cooling
855,5,131,1023,22.17212,2177.2,1,cooling
857,5,133,1023,23.001832,2138.95,1,cooling
859,5,135,1023,22.85086,2145.9,1,cooling
862,5,138,1023,22.266326,2172.85,1,cooling
864,5,140,1023,22.13205,2179.05,1,cooling
866,5,142,1023,22.234924,2174.3,1,cooling
868,5,144,1023,22.475464,2163.2,1,cooling
870,5,146,1023,22.501496,2162.0,1,cooling
873,5,149,1023,23.022492,2138.0,1,cooling
875,5,151,1023,22.488464,2162.6,1,cooling
877,5,153,1023,22.519928,2161.15,1,cooling
879,5,155,1023,22.588226,2158.0,1,cooling
882,5,158,1023,22.206756,2175.6,1,cooling
884,5,160,1023,22.806336,2147.95,1,cooling
886,5,162,1023,22.303162,2171.15,1,cooling
888,5,164,1023,22.50473,2161.85,1,cooling
890,5,166,1023,22.380096,2167.6,1,cooling
893,5,169,1023,22.056304,2182.55,1,cooling
895,5,171,1023,22.303162,2171.15,1,cooling
897,5,173,1023,22.33133,2169.85,1,cooling
899,5,175,1023,22.758576,2150.15,1,cooling
901,5,177,1023,22.096344,2180.7,1,cooling
